DT,DT_round,DT_floor,Measurement,Value
2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,Turbidity,10.27
2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,Specific_Conductivity,64.1
2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,FDOM,1.86
2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,DO,9.32
2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,DO_Sat,NA
2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,Chl-a,0.03
2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,2024-05-03T19:30:00Z,Temperature,6.83
2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,Depth,1.35
2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,pH,7.72
2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,Turbidity,11.31
2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,Specific_Conductivity,64.15
2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,FDOM,1.88
2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,DO,9.37
2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,DO_Sat,NA
2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,Chl-a,0.03
2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,2024-05-03T19:15:00Z,Temperature,6.56
2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,Depth,1.33
2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,pH,7.71
2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,Turbidity,11.41
2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,Specific_Conductivity,64.37
2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,FDOM,1.9
2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,DO,9.4
2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,DO_Sat,NA
2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,Chl-a,0.03
2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,2024-05-03T19:00:00Z,Temperature,NA
2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,Depth,1.35
2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,pH,7.71
2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,Turbidity,10.21
2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,Specific_Conductivity,64.34
2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,FDOM,1.88
2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,DO,9.43
2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,DO_Sat,NA
2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,Chl-a,0.03
2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,2024-05-03T18:45:00Z,Temperature,6.28
2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,Depth,1.35
2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,pH,7.74
2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,Turbidity,9.6
2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,Specific_Conductivity,64.08
2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,FDOM,1.89
2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,DO,9.47
2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,DO_Sat,NA
2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,Chl-a,0.04
2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,2024-05-03T18:30:00Z,Temperature,6.17
2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,Depth,1.35
2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,pH,7.72
2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,Turbidity,9.04
2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,Specific_Conductivity,64.06
2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,FDOM,1.88
2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,DO,9.52
2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,DO_Sat,NA
2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,2024-05-03T18:15:00Z,Chl-a,0.03
